Region,Area,Year,Month,Dwelling_Type,kwh_per_acc
North East Region,Ang Mo Kio,2010,1,1-room / 2-room,144.9
North East Region,Ang Mo Kio,2010,1,Landed Properties,785.2
North East Region,Ang Mo Kio,2010,1,Private Apartments and Condominiums,445.0
North East Region,Ang Mo Kio,2010,2,1-room / 2-room,157.5
North East Region,Ang Mo Kio,2010,2,Landed Properties,896.4
North East Region,Ang Mo Kio,2010,2,Private Apartments and Condominiums,525.4
North East Region,Ang Mo Kio,2010,3,1-room / 2-room,158.1
North East Region,Ang Mo Kio,2010,3,Landed Properties,1069.9
North East Region,Ang Mo Kio,2010,3,Private Apartments and Condominiums,621.3
North East Region,Ang Mo Kio,2010,4,1-room / 2-room,167.8
North East Region,Ang Mo Kio,2010,4,Landed Properties,985.7
North East Region,Ang Mo Kio,2010,4,Private Apartments and Condominiums,605.7
North East Region,Ang Mo Kio,2010,5,1-room / 2-room,170.4
North East Region,Ang Mo Kio,2010,5,Landed Properties,969.6
North East Region,Ang Mo Kio,2010,5,Private Apartments and Condominiums,630.3
North East Region,Ang Mo Kio,2010,6,1-room / 2-room,169.4
North East Region,Ang Mo Kio,2010,6,Landed Properties,1032.9
North East Region,Ang Mo Kio,2010,6,Private Apartments and Condominiums,616.2
North East Region,Ang Mo Kio,2010,7,1-room / 2-room,163.7
North East Region,Ang Mo Kio,2010,7,Landed Properties,779.0
North East Region,Ang Mo Kio,2010,7,Private Apartments and Condominiums,473.4
North East Region,Ang Mo Kio,2010,8,1-room / 2-room,166.8
North East Region,Ang Mo Kio,2010,8,Landed Properties,946.6
North East Region,Ang Mo Kio,2010,8,Private Apartments and Condominiums,562.1
North East Region,Ang Mo Kio,2010,9,1-room / 2-room,156.7
North East Region,Ang Mo Kio,2010,9,Landed Properties,908.6
North East Region,Ang Mo Kio,2010,9,Private Apartments and Condominiums,536.7
North East Region,Ang Mo Kio,2010,10,1-room / 2-room,163.7
North East Region,Ang Mo Kio,2010,10,Landed Properties,930.3
North East Region,Ang Mo Kio,2010,10,Private Apartments and Condominiums,560.2
North East Region,Ang Mo Kio,2010,11,1-room / 2-room,170.947495407696
North East Region,Ang Mo Kio,2010,11,Landed Properties,952.433181118695
North East Region,Ang Mo Kio,2010,11,Private Apartments and Condominiums,584.578203110693
North East Region,Ang Mo Kio,2010,12,1-room / 2-room,178.552583328942
North East Region,Ang Mo Kio,2010,12,Landed Properties,975.126678424455
North East Region,Ang Mo Kio,2010,12,Private Apartments and Condominiums,610.068205176176
North East Region,Ang Mo Kio,2011,1,1-room / 2-room,151.3
North East Region,Ang Mo Kio,2011,1,Landed Properties,720.8
North East Region,Ang Mo Kio,2011,1,Private Apartments and Condominiums,399.8
North East Region,Ang Mo Kio,2011,2,1-room / 2-room,142.0
North East Region,Ang Mo Kio,2011,2,Landed Properties,874.2
North East Region,Ang Mo Kio,2011,2,Private Apartments and Condominiums,493.8
North East Region,Ang Mo Kio,2011,3,1-room / 2-room,139.8
North East Region,Ang Mo Kio,2011,3,Landed Properties,843.9
North East Region,Ang Mo Kio,2011,3,Private Apartments and Condominiums,491.3
North East Region,Ang Mo Kio,2011,4,1-room / 2-room,155.4
North East Region,Ang Mo Kio,2011,4,Landed Properties,866.2
North East Region,Ang Mo Kio,2011,4,Private Apartments and Condominiums,517.0
